bus_id,bus,route,stop_no,stop,up_time change,down_time change
bussathi-sonai-751,SONAI WB471781,Bolpur -> Benachity,7,Benachity,up: 2:35 PM -> -,down: 4:25 PM -> 4:25 PM
bussathi-sonar-tori-754,SONAR TORI WB41J7004,Krishnanagar -> Benachity,9,Panagarh,up: 1:45 PM -> -,down: - -> 1:45 PM
bussathi-sonar-tori-754,SONAR TORI WB41J7004,Krishnanagar -> Benachity,10,Durgapur (Muchipara),up: 1:25 PM -> -,down: - -> 1:25 PM
bussathi-sonar-tori-754,SONAR TORI WB41J7004,Krishnanagar -> Benachity,11,Durgapur (City Center),up: 12:05 PM -> -,down: 1:15 PM -> 1:15 PM
bussathi-sonar-tori-754,SONAR TORI WB41J7004,Krishnanagar -> Benachity,12,Benachity,up: 12:20 PM -> -,down: 12:55 PM -> 12:55 PM
bussathi-soumen-757,SOUMEN WB67D6869,Shyambazar -> Durgapur (City Center),11,Makurgram,up: 9:10 AM -> -,down: 3:05 PM -> 3:05 PM
bussathi-souvik-0,SOUVIK WB31AC6435,Digha -> Jayrambati,7,Nandakumar,up: 5:00 PM -> -,down: - -> 5:00 PM
bussathi-souvik-0,SOUVIK WB31AC6435,Digha -> Jayrambati,9,Mecheda,up: 4:15 PM -> -,down: - -> 4:15 PM
bussathi-souvik-0,SOUVIK WB31AC6435,Digha -> Jayrambati,18,Jayrambati,up: 8:45 AM -> -,down: 1:15 PM -> 1:15 PM
bussathi-sri-balaji-763,SRI BALAJI WB37E5964,Bankura -> Dhanbad,2,Makurgram,up: 5:00 PM -> -,down: - -> 5:00 PM
bussathi-sri-bishnu-762,SRI BISHNU WB33C5130,Khatra -> Ghatal,3,Simlapal,up: 5:15 PM -> -,down: - -> 5:15 PM
bussathi-sri-bishnu-762,SRI BISHNU WB33C5130,Khatra -> Ghatal,4,Bikrampur,up: 5:00 PM -> -,down: - -> 5:00 PM
bussathi-sri-bishnu-762,SRI BISHNU WB33C5130,Khatra -> Ghatal,11,Chandrakona Road,up: 3:00 PM -> -,down: - -> 3:00 PM
bussathi-sri-bishnu-762,SRI BISHNU WB33C5130,Khatra -> Ghatal,12,Chandrakona Town,up: 2:20 PM -> -,down: - -> 2:20 PM
bussathi-sri-bishnu-762,SRI BISHNU WB33C5130,Khatra -> Ghatal,15,Ghatal,up: 10:20 AM -> -,down: 1:15 PM -> 1:15 PM
bussathi-subarnarekha-775,SUBARNAREKHA WB55E3663,Asansol -> Tatanagar,3,Chirkunda,up: 6:00 AM -> 6:00 AM,down: 6:50 PM -> -
bussathi-sulochona-784,SULOCHONA WB41A7481,Santaldih -> Bankura,6,Saltora,up: 9:00 AM -> -,down: 1:30 PM -> 1:30 PM
bussathi-sweety-805,SWEETY WB39B6338,Durgapur (Station) -> Bandwan,11,Hatirampur,up: 3:00 PM -> -,down: - -> 3:00 PM
bussathi-sweety-805,SWEETY WB39B6338,Durgapur (Station) -> Bandwan,12,Khatra,up: 9:20 AM -> -,down: 2:40 PM -> 2:40 PM
bussathi-sweety-805,SWEETY WB39B6338,Durgapur (Station) -> Bandwan,13,Ranibandh,up: 9:50 AM -> -,down: 2:00 PM -> 2:00 PM
bussathi-sweety-805,SWEETY WB39B6338,Durgapur (Station) -> Bandwan,15,Poradih,up: 10:30 AM -> -,down: 1:20 PM -> 1:20 PM
bussathi-sweety-805,SWEETY WB39B6338,Durgapur (Station) -> Bandwan,17,Bandwan,up: 11:00 AM -> -,down: 12:45 PM -> 12:45 PM
bussathi-tanveer-812,TANVEER WB41K2039,Kharagpur -> Bardhaman,9,Kamarpukur,up: 4:10 PM -> -,down: - -> 4:10 PM
bussathi-tanveer-812,TANVEER WB41K2039,Kharagpur -> Bardhaman,11,Arambagh,up: 11:00 AM -> -,down: 3:40 PM -> 3:40 PM
bussathi-tanveer-812,TANVEER WB41K2039,Kharagpur -> Bardhaman,15,Telipukur,up: 2:30 PM -> -,down: - -> 2:30 PM
bussathi-tanveer-812,TANVEER WB41K2039,Kharagpur -> Bardhaman,16,Bardhaman,up: 12:20 PM -> -,down: 2:10 PM -> 2:10 PM
bussathi-taraknath-821,TARAKNATH WB41H0035,Nabadwip -> Asansol,12,Durgapur (Muchipara),up: 11:25 AM -> -,down: - -> 11:25 AM
bussathi-taraknath-821,TARAKNATH WB41H0035,Nabadwip -> Asansol,13,Durgapur (City Center),up: 8:20 AM -> -,down: 11:10 AM -> 11:10 AM
bussathi-taraknath-821,TARAKNATH WB41H0035,Nabadwip -> Asansol,15,Asansol,up: 9:20 AM -> -,down: 10:00 AM -> 10:00 AM
bussathi-trilochan-0,TRILOCHAN WB67C2339,Parsola -> Raniganj,6,Dhaldanga,up: 5:50 PM -> -,down: - -> 5:50 PM
bussathi-tumpa-sona-841,TUMPA SONA WB55B7838,Purulia -> Digha,26,Digha,up: 4:35 AM -> 4:35 AM,down: 7:30 PM -> -
bussathi-western-diamond-855,WESTERN DIAMOND WB33C4836,Medinipur -> Bankura,12,Taldangra,up: 12:20 PM -> -,down: - -> 12:20 PM
bussathi-western-diamond-855,WESTERN DIAMOND WB33C4836,Medinipur -> Bankura,15,Bankura,up: 11:20 AM -> -,down: 11:55 AM -> 11:55 AM
bussathi-yaman-860,YAMAN WB33H5378,Chandrakona Road -> Haldia,19,Durgachak,up: 10:30 AM -> -,down: - -> 10:30 AM
bussathi-yaman-860,YAMAN WB33H5378,Chandrakona Road -> Haldia,20,Haldia,up: 9:45 AM -> -,down: 10:00 AM -> 10:00 AM
express-line-kolkata-karunamoyee-bangalore-4021,Express Line Kolkata-Bangalore (Volvo AC Sleeper) WB 11K 6999,Kolkata (Karunamoyee) -> Bangalore,30,Chandpura,up: - -> 8:30 PM,down: 8:30 PM -> -
express-line-kolkata-karunamoyee-bangalore-4021,Express Line Kolkata-Bangalore (Volvo AC Sleeper) WB 11K 6999,Kolkata (Karunamoyee) -> Bangalore,31,Bommasandra,up: - -> 8:45 PM,down: 8:45 PM -> -
express-line-kolkata-karunamoyee-bangalore-4021,Express Line Kolkata-Bangalore (Volvo AC Sleeper) WB 11K 6999,Kolkata (Karunamoyee) -> Bangalore,32,Electronic City,up: - -> 9:10 PM,down: 9:10 PM -> -
promila-bolpur-barakar-4023,Promila Bolpur-Barakar WB 53B 5780,Bolpur -> Barakar,6,Darjiling More,up: 7:47 AM -> 7:47 AM,down: 3:02 PM -> -
gobinda-aishani-medinipur-contai-4014,GOBINDA AISHANI ,Medinipur -> Contai,4,Thakurchak,up: 10:15 AM -> 10:15 AM,down: 4:10 PM -> -
gobinda-aishani-medinipur-contai-4014,GOBINDA AISHANI ,Medinipur -> Contai,5,Khakurda,up: 10:35 AM -> 10:35 AM,down: 4:25 PM -> -

"--- LEFT FOR REVIEW (not changed, possible 2nd daily trips / ambiguous) ---"
bussathi-aayan-2,AAYAN WB15B5564,Jamtora -> Manbazar,2,Kamalpur,up 6:00 AM < up 6:40 AM at previous stop; does not fit down neighbours
bussathi-baba-biharinath-89,BABA BIHARINATH WB37B2307,Biharinath -> Ranibandh,3,Saltora,"down 5:20 PM > down 3:40 PM at previous stop (increasing run - possible 2nd trip, left as-is)"
bussathi-debraj-188,DEBRAJ WB67C1759,Amlasuli -> Bankura,6,Dhaldanga,up 3:25 PM < up 6:40 PM at previous stop; does not fit down neighbours
bussathi-dulhan-205,DULHAN WB41K1492,Bankura -> Nabadwip,3,Beliatore,"down 3:55 PM > down 2:10 PM at previous stop (increasing run - possible 2nd trip, left as-is)"
bussathi-ishan-255,ISHAN WB675218,Kutni -> Bankura,8,Puabagan,"down 11:45 AM > down 11:05 AM at previous stop (increasing run - possible 2nd trip, left as-is)"
bussathi-iswarchandra-0,ISWARCHANDRA WB33H8471,Kharagpur -> Durgapur (City Center),17,Barjora,last stop up 12:00 PM > arrival 11:00 AM but does not fit down neighbours
bussathi-kakatua-310,KAKATUA WB39B8008,Pandaveswar -> Purulia,4,Pabra,"down 5:00 PM > down 3:15 PM at previous stop (increasing run - possible 2nd trip, left as-is)"
bussathi-laxmipriya-0,LAXMIPRIYA WB67A0036,Lakshmisagar -> Bankura,4,Taldangra,last stop up 11:20 AM > arrival 8:50 AM but does not fit down neighbours
bussathi-maa-bagala-360,MAA BAGALA WB33A5329,Contai -> Fulkusma,9,Jhargram,last stop up 11:45 AM > arrival 10:25 AM but does not fit down neighbours
bussathi-maa-bagala-361,MAA BAGALA WB33A6969,Khatra -> Contai,5,Sarenga,"down 4:30 PM > down 3:45 PM at previous stop (increasing run - possible 2nd trip, left as-is)"
bussathi-maa-manasa-408,MAA MANASA WB33C6926,Fulkusma -> Bankura,6,Simlapal,up 7:05 AM < up 11:30 AM at previous stop; does not fit down neighbours
bussathi-rof-rof-646,ROF ROF WB33K5234,Bishnupur -> Haldia,17,Chaitanyapur,last stop up 12:35 PM > arrival 12:25 PM but does not fit down neighbours
bussathi-sanghati-679,SANGHATI WB29E5301,Tarkeshwar -> Digha,10,Contai,up 10:00 AM < up 2:15 PM at previous stop; does not fit down neighbours
bussathi-sonai-751,SONAI WB471781,Bolpur -> Benachity,5,Durgapur (Muchipara),last stop up 2:55 PM > arrival 2:35 PM but does not fit down neighbours
bussathi-souvik-0,SOUVIK WB31AC6435,Digha -> Jayrambati,17,Kamarpukur,last stop up 11:00 AM > arrival 8:45 AM but does not fit down neighbours
bussathi-sri-balaji-763,SRI BALAJI WB37E5964,Bankura -> Dhanbad,3,Beliatore,up 2:45 PM < up 6:10 PM at previous stop; does not fit down neighbours
