mode	source	origin	destination	operator	bus_type	dep	arr	target_id
ADD	siligurismc.in	Siliguri	Omarpur	NBSTC	Government	8:00 AM		
ADD	siligurismc.in	Siliguri	Farakka	NBSTC	Government	9:00 AM		
ADD	siligurismc.in	Siliguri	Ranchi	NBSTC	Government	11:00 AM		
ADD	siligurismc.in	Siliguri	Raiganj	NBSTC	Government	8:00 AM		
ADD	siligurismc.in	Siliguri	Raiganj	NBSTC	Government - AC	7:00 AM		
ADD	siligurismc.in	Siliguri	Sukna	NBSTC	Government	9:00 AM		
ADD	siligurismc.in	Siliguri	Bindu	NBSTC	Government	7:00 AM		
ADD	siligurismc.in	Siliguri	Bindu	NBSTC	Government	1:30 PM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	6:30 AM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	7:00 AM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	7:30 AM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	8:00 AM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	8:30 AM		
ADD	siligurismc.in	Siliguri	Panitanki	NBSTC	Government	9:00 AM		
ADD	siligurismc.in	Siliguri	Kharibari	NBSTC	Government	6:00 AM		
ADD	siligurismc.in	Siliguri	Kharibari	NBSTC	Government	7:00 AM		
ADD	siligurismc.in	Siliguri	Mirik	NBSTC	Government	11:30 AM		
ADD	siligurismc.in	Siliguri	Mirik	NBSTC	Government	3:30 PM		
ADD	siligurismc.in	Siliguri	Darjeeling	NBSTC	Government	8:30 AM		
ADD	siligurismc.in	Siliguri	Darjeeling	NBSTC	Government	10:30 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	6:30 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	7:15 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	8:45 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	10:30 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	11:40 AM		
ADD	siligurismc.in	Siliguri	Kalimpong	NBSTC	Government	1:15 PM		
ADD	siligurismc.in	Siliguri	Cooch Behar	NBSTC	Government - AC	7:30 AM		
ADD	siligurismc.in	Siliguri	Cooch Behar	NBSTC	Government	3:00 PM		
ADD	siligurismc.in	Siliguri	Bijanbari	NBSTC	Government	2:00 PM		
ADD	siligurismc.in	Siliguri	Bagdogra	NBSTC	Government	8:00 AM		
ADD	siligurismc.in	Siliguri	Dhapra	NBSTC	Government	8:00 AM		
ADD	siligurismc.in	Salugara	NJP	NBSTC	Government	7:00 AM		
ADD	siligurismc.in	Salugara	NJP	NBSTC	Government	7:45 AM		
ADD	siligurismc.in	NJP	Salugara	NBSTC	Government	7:00 AM		
ADD	siligurismc.in	NJP	Salugara	NBSTC	Government	7:45 AM		
ADD	siligurismc.in	Milan More	NJP	NBSTC	Government	7:10 AM		
ADD	siligurismc.in	Milan More	NJP	NBSTC	Government	9:00 AM		
ADD	siligurismc.in	Milan More	NJP	NBSTC	Government	10:40 AM		
ADD	siligurismc.in	NJP	Milan More	NBSTC	Government	7:10 AM		
ADD	siligurismc.in	NJP	Milan More	NBSTC	Government	9:00 AM		
ADD	siligurismc.in	NJP	Milan More	NBSTC	Government	10:40 AM		
FILL	siligurismc.in	Siliguri	Kolkata	NBSTC	Government	6:00 PM		ktr-government-kolkata-to-siliguri-rocket-1
FILL	durgapurhub.com	Durgapur	Karunamoyee	SBSTC	Government	5:15 AM	9:15 AM	
FILL	santoshbusservice.com	Habra	Digha	Santosh Bus Service	Private - AC	5:15 AM	10:20 AM	
